flow_developer_name,flow_id,version_number,process_type,trigger_object,trigger_type,entry_criteria_present,entry_criteria_summary,action_call_count,apex_plugin_call_count,subflow_count,touchpoint_count,external_candidate_touchpoint_count
All_Companies_House_Check,301Px00000AMhrmIAD,3,Flow,,,Y,AccountName NotEqualTo; BillingCity NotEqualTo; BillingCountry NotEqualTo; BillingPostalCode NotEqualTo,2,0,0,2,2
Analysis_Synchronisation_Dimension_1,3014K000000UyWqQAK,1,Workflow,c2g__codaDimension1__c,onAllChanges,Y,formula_myRule_1 EqualTo True,1,0,0,1,1
Analysis_Synchronisation_Dimension_2,3014K000000UyWrQAK,1,Workflow,c2g__codaDimension2__c,onAllChanges,Y,formula_myRule_1 EqualTo True,1,0,0,1,1
Analysis_Synchronisation_Dimension_3,3014K000000UyWsQAK,1,Workflow,c2g__codaDimension3__c,onAllChanges,Y,formula_myRule_1 EqualTo True,1,0,0,1,1
Analysis_Synchronisation_Dimension_4,3014K000000UyWtQAK,1,Workflow,c2g__codaDimension4__c,onAllChanges,Y,formula_myRule_1 EqualTo True,1,0,0,1,1
Approve_Pricing_Request,301Px00000Lry8SIAR,1,Flow,,,Y,Would_you_like_to_approve_reject_or_update EqualTo Approve; Would_you_like_to_approve_reject_or_update EqualTo Reject,0,0,0,0,0
Asset_Labelling,301Px00000G1ToPIAV,4,AutoLaunchedFlow,Asset,RecordAfterSave,Y,logic=and; Name EqualTo -,0,0,0,0,0
Asset_Number_Generator,301Px000005cZpwIAE,1,Flow,,,N,,0,0,0,0,0
Assign_PO_Values_from_SO,3018e000000olEAAAY,5,AutoLaunchedFlow,SCMC__Purchase_Order__c,RecordBeforeSave,Y,$Record.RecordType.Name EqualTo Drop Ship Purchase Order; $Record.SCMC__Override_Ship_to_Address__c IsNull False; $Record.RecordType.Name EqualTo Drop Ship Purchase Order; $Record.SCMC__Override_Ship_to_Address__c IsNull True,0,0,0,0,0
Call_Foundations_Billing_PB,3014K000000545EQAQ,1,Workflow,SCMC__Invoicing__c,onAllChanges,Y,myVariable_old IsNull False; myVariable_old.ION_Bill_To_FFA__c NotEqualTo myVariable_current.ION_Bill_To_FFA__c,1,0,0,1,1
Cancel_MACD_Lines_Cancelled_MACD,301Px00000MO5V3IAL,2,AutoLaunchedFlow,MACD__c,RecordAfterSave,Y,logic=and; Status__c EqualTo Cancelled,0,0,0,0,0
Cancel_MACDs_Closed_Lost_Opp,301Px00000PtHTGIA3,2,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=and; StageName EqualTo Closed Lost,0,0,0,0,0
Cancelled_MACD_Line_Revert_Asset_Status,301Px00000JXoG3IAL,1,AutoLaunchedFlow,MACD_Line_Item__c,RecordAfterSave,Y,logic=and; Status__c EqualTo Cancelled,0,0,0,0,0
Capture_Meters_Screen,301Px00000LU4SCIA1,4,Flow,MACD_Line_Item__c,,N,,0,0,0,0,0
Check_and_populate_PO_number,3014K000000cdaeQAA,1,AutoLaunchedFlow,c2g__codaInvoice__c,RecordBeforeSave,Y,logic=or; c2g__CustomerReference__c IsNull True; c2g__CustomerReference__c EqualTo,0,0,0,0,0
Check_for_Approved_Products,301Px00000SZ00DIAT,3,AutoLaunchedFlow,Opportunity,,Y,Loop_Products.Product2.Approval_Status__c NotEqualTo Approved,0,0,0,0,0
Check_for_Lapsed_Customers,3018e000000PFOwAAO,1,AutoLaunchedFlow,Account,Scheduled,Y,logic=and; Review_Customer_Status__c EqualTo True,0,0,0,0,0
Checklist_Creation,3018e0000008cXDAAY,8,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=and; Lines_Of_Business__c IsNull False,0,0,0,0,0
Checklist_Screen,3018e000000PFOVAA4,1,Flow,,,N,,0,0,0,0,0
Checklist_Update,301Px00000PtHTHIA3,2,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=or; Lines_Of_Business__c IsChanged True,0,0,0,0,0
Child_Assets_To_Update_From_Parent_Asset,3018e0000004HN0AAM,3,AutoLaunchedFlow,Asset,RecordAfterSave,Y,logic=or; Site__c IsChanged True; Site_Address__c IsChanged True; Site_Account__c IsChanged True; Location_at_Site__c IsChanged True,0,0,0,0,0
Commission_Assign_Plan,3018e000000ChigAAC,2,AutoLaunchedFlow,Commission_Payment_Plans__c,,Y,userCount GreaterThan 0; divisionCount GreaterThan 0,0,0,0,0,0
Commission_Other_Transactions,3018e000000PFH7AAO,1,AutoLaunchedFlow,Commission_Payment__c,,Y,Loop_References.c2g__TransactionLineItem__r.Plain_Document_Number__c Contains SIN,0,0,0,0,0
Companies_House_Flow,3018e000000PFNZAA4,29,Flow,,,N,,0,0,0,0,0
Complete_MACD_Sales_Order,301Px00000TMMFnIAP,3,AutoLaunchedFlow,,,Y,$UserRole.Name EqualTo MACD Team; $UserRole.Name EqualTo Billing Team,0,0,0,0,0
Compliance_Approval_Flow,301Ae00000qk42qIAA,19,AutoLaunchedFlow,Opportunity,,Y,orderCreationInput EqualTo Create,5,0,1,6,2
Compliance_Approval_Process_Submitted,301Ae00000oRQUiIAO,30,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=and; StageName EqualTo Compliance Approval; Approval_Status__c NotEqualTo Approved,4,0,1,5,0
Contact_Removal,301Px000004BspDIAS,1,Flow,,,N,,0,0,0,0,0
Contract_email_alert_90_days_before_expires,3018e000000PFOXAA4,1,AutoLaunchedFlow,Contract,Scheduled,Y,logic=and; EndDate IsNull False,1,0,0,1,0
creat_update_Commissions,3018e0000004I6jAAE,16,AutoLaunchedFlow,Commission_Payment__c,,Y,CommissionPayment.Paid_Date__c IsNull False; CommissionPayment.SalesOrder__c IsNull True,0,0,0,0,0
Create_Commission_Opp_Product,301Px00000AsHRBIA3,21,AutoLaunchedFlow,OpportunityLineItem,RecordAfterSave,Y,Loop_Splits.Department__c Contains Ireland,0,0,1,1,0
Create_Commission_Opp_Split,301Px00000TxuTuIAJ,6,AutoLaunchedFlow,OpportunitySplit,RecordAfterSave,Y,$Record.Opportunity.CloseDate LessThanOrEqualTo 2023-02-28; $Record.SplitOwner.LastName EqualTo Sangster,1,0,1,2,1
Create_Delivery_Line_Item_on_Creation,301Px00000T5iJZIAZ,5,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=and; Lines_Of_Business__c IsNull False,0,0,0,0,0
Create_Delivery_Lines,301Px00000DNJYmIAP,6,AutoLaunchedFlow,Opportunity,,Y,Get_Delivery_for_Update IsNull False,0,0,0,0,0
Create_Install_Analyst_Line,301Px00000KSpdhIAD,12,AutoLaunchedFlow,Opportunity,,Y,SalesOrder IsNull False,0,0,0,0,0
Create_Location_Subflow,301Px00000FKylmIAD,2,AutoLaunchedFlow,,,N,,0,0,0,0,0
Create_SO_Lines,301Px00000TiABKIA3,5,AutoLaunchedFlow,OpportunityLineItem,,Y,opportunityLines IsNull False,0,0,0,0,0
Credit_Safe_Bypass_Tracking,301Px00000MYiWkIAL,1,AutoLaunchedFlow,Account,RecordBeforeSave,Y,logic=and; Bypass_Creditsafe__c EqualTo True,0,0,0,0,0
Customer_Account_Check,301Px00000Ji9EMIAZ,5,AutoLaunchedFlow,,,Y,Get_Account.Customer_Status__c EqualTo Customer,0,0,0,0,0
Data_Garage_Assign_Account_to_Sales,301Px00000POBVNIA5,2,AutoLaunchedFlow,,,N,,0,0,0,0,0
Data_Garage_Assign_Account_to_Sales_Multi_Assignment,301Px00000PNQwHIAX,1,Flow,Account,,Y,Cancel_Changes EqualTo True,0,0,0,0,0
Data_Garage_Return_Non_Active_Accounts_to_Garage,301Px00000Nzng5IAB,1,AutoLaunchedFlow,Account,Scheduled,Y,logic=and; Reallocated_Time_Stamp__c IsNull False,0,0,0,0,0
Deal_accepted,3014K000000cYXzQAM,1,Workflow,Opportunity,onAllChanges,Y,myVariable_old IsNull False; myVariable_old.link_Opp2SO_Id__r.Id NotEqualTo myVariable_current.link_Opp2SO_Id__r.Id,1,0,0,1,0
Deal_Checklist,3018e000000PFOQAA4,1,Flow,,,N,,0,0,0,0,0
Deal_Summary_Checker,301Px00000D3KagIAF,2,AutoLaunchedFlow,,,Y,$Permission.MACD_UAT_Group EqualTo True,0,0,0,0,0
Delete_Commissions_Closed_Lost,301Px00000PtHTIIA3,6,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=and; StageName EqualTo Closed Lost; OwnerId NotEqualTo 0054K000004L3Mw,0,0,0,0,0
Delete_Commissions_Opp_Line,3018e0000004JKHAA2,1,AutoLaunchedFlow,OpportunityLineItem,RecordBeforeDelete,Y,$Record.Opportunity.CloseDate LessThanOrEqualTo 2023-02-28,0,0,0,0,0
Delete_Commissions_Opp_Split,3018e0000004JKCAA2,1,AutoLaunchedFlow,OpportunitySplit,RecordBeforeDelete,Y,$Record.Opportunity.CloseDate LessThanOrEqualTo 2023-02-28,0,0,0,0,0
Delete_Product_Groups_when_Product_is_Deleted,301Px00000MF5XQIA1,2,AutoLaunchedFlow,Product2,RecordBeforeDelete,Y,Get_Linked_Product_Groups IsNull False,0,0,0,0,0
Demo_Run_Decision_Action,301Ae00000lKiDrIAK,2,Flow,,,Y,Loop_over_trees.treeId EqualTo Default_decision_tree,2,0,0,2,2
Discard_Documents,3018e0000008kUHAAY,1,Flow,,,N,,1,0,0,1,1
Display_Contacts,3018e000000ChQXAA0,27,Flow,,,Y,Contact_Id IsNull False; Contact_Id IsNull True,4,0,0,4,0
Display_Past_Opp_Products,3018e0000008d1CAAQ,1,Flow,,,Y,Select_what_to_see EqualTo Assets,0,0,0,0,0
Display_Tasks,3018e0000004I4xAAE,4,Flow,,,Y,Get_Account IsNull False,0,0,0,0,0
Email_Deal_Into_Compliance,301Px00000PtHTJIA3,4,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=and; StageName EqualTo Compliance Approval; Approval_Status__c EqualTo Under Review,1,0,0,1,0
Email_Stock_Receipts,3018e000000PFU6AAO,1,AutoLaunchedFlow,SCMC__Receipt__c,RecordAfterSave,N,,1,0,0,1,0
End_Authentication,301Ae00000lKiDsIAK,6,Flow,,,N,,0,0,0,0,0
FFA_Sales_Invoice_Line_Item_to_ITPR_trigger,3018e0000008kd9AAA,2,AutoLaunchedFlow,c2g__codaInvoiceLineItem__c,RecordAfterSave,Y,logic=and; SCMFFA__SCM_Invoice_Line__c IsNull False,0,0,0,0,0
FFX_Account,3018e0000004F3cAAE,5,AutoLaunchedFlow,Account,RecordAfterSave,Y,logic=and; FFX_CaseSafeAccountID__c EqualTo,0,0,0,0,0
FFX_Contact,3018e000000PFajAAG,1,AutoLaunchedFlow,Contact,RecordAfterSave,N,,0,0,0,0,0
FFX_FAM_Fixed_Asset_Disposal,3014K000000UyX0QAK,1,Flow,,,Y,Get_Asset.FAM__Status__c EqualTo Active,0,0,0,0,0
FFX_FAMAddDepreciationToFixedAsset,3014K000000UyWuQAK,1,Flow,,,Y,varFixedAssetStatus EqualTo New; varFixedAssetStatus EqualTo Recalled; varFixedAssetStatus EqualTo Rejected; varFixedAssetStatus EqualTo Submitted; varFixedAssetStatus EqualTo Approved; varFixedAssetStatus EqualTo Active,0,0,0,0,0
FFX_FAMAssetCheckAndApprove,3014K000000UyWwQAK,1,Flow,,,Y,varAssetDateAcquired IsNull False,1,0,0,1,0
FFX_FAMFixedAssetActiveAmendment,3014K000000UyWxQAK,1,Flow,,,Y,varLastActiveScheduleDate IsNull False,0,0,1,1,0
FFX_FAMInheritBookAndMethod,3014K000000UyWzQAK,1,AutoLaunchedFlow,,,Y,varSourceDepreciationBookID IsNull False,0,0,0,0,0
FFX_Set_Account_Trading_Currency,3018e000000PFaiAAG,1,AutoLaunchedFlow,Account,RecordAfterSave,Y,logic=and; c2g__CODAAccountTradingCurrency__c IsNull True,0,0,0,0,0
FFX_SM_Product_Product_Group_PB,3014K000000545GQAQ,2,Workflow,Product2,onAllChanges,Y,myVariable_current.IsActive EqualTo True; myVariable_current.c2g__CODAPurchaseAnalysisAccount__c IsNull False; myVariable_current.ION_Is_Stock_Item__c EqualTo True; myVariable_current.link_OPIProdGrp_Id__r.Id IsNull True,4,0,0,4,4
FFXSCM_Process_Invoice_Line_Items,3018e0000004FVgAAM,2,AutoLaunchedFlow,SCMC__Invoicing__c,,N,,0,0,1,1,0
FFXSCM_Process_Invoice_Lines,301Px00000SoMlBIAV,4,AutoLaunchedFlow,SCMC__Invoice_Line_Item__c,,Y,varFirst EqualTo True,1,0,0,1,1
FFXSCM_Process_Voided_Invoice,3018e0000004FVrAAM,2,Workflow,SCMC__Invoicing__c,onAllChanges,Y,myVariable_current.SCMC__Status__c EqualTo Voided,1,0,0,1,0
FFXSCM_Update_JE_Date_for_SCM_Invoice_Drop_Ship_Void,3018e0000008hZ8AAI,1,AutoLaunchedFlow,c2g__codaJournal__c,RecordBeforeSave,Y,logic=and; c2g__Type__c EqualTo SCM Drop Ship Journal; SCMFFA__SCM_Perpetual_Transaction__c IsNull False,0,0,0,0,0
FFXSCM_Update_SCM_Transaction_with_PO_details,301Px00000MzEFwIAN,3,AutoLaunchedFlow,c2g__codaTransactionLineItem__c,RecordAfterSave,Y,logic=or; FFX_PO__c IsNull True; FFX_PO__c EqualTo,0,0,0,0,0
General_intelligence_Update,3018e0000004FUYAA2,1,Flow,,,Y,Get_Intel_Record IsNull True,0,0,0,0,0
Install_Analyst_Text,301Px000005cZq3IAE,1,Flow,,,N,,0,0,0,0,0
Invoice_Line_Check,3018e000000okZRAAY,8,Flow,,,Y,LoopGetLines.RecordType.Name EqualTo Drop Ship; LoopGetLines.SCMC__Purchase_Order_Line_Item__c IsNull True; LoopGetLines.RecordType.Name EqualTo Item,0,0,0,0,0
ION_AddCompanyToBillingDoc_PB,3014K000000VDG7QAO,1,Workflow,fferpcore__BillingDocument__c,onCreateOnly,Y,myVariable_current.fferpcore__Company__c IsNull True; myVariable_current.SCM_Invoice__c IsNull False,1,0,0,1,0
ION_AddCompanyToBillingDocument,3014K000000VDF4QAO,1,AutoLaunchedFlow,,,N,,0,0,0,0,0
ION_CreateSalesOrder_PB,3014K000000hBfHQAU,1,Workflow,Opportunity,onAllChanges,Y,myVariable_old IsNull False; myVariable_old.IWM_Sales_Order_Type__c NotEqualTo myVariable_current.IWM_Sales_Order_Type__c,2,0,0,2,1
ION_CreateSalesOrder_PB_2,301Px00000Q4otpIAB,5,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=and; StageName EqualTo Closed Won; IWM_Sales_Order_Req__c EqualTo True; link_Opp2SO_State__c NotEqualTo Ok,1,0,0,1,1
ION_Sales_Order_Update,3014K000000545HQAQ,1,AutoLaunchedFlow,,,N,,0,0,0,0,0
ION_Update_Corp_Currency_value_of_PO_PB,3014K000000545IQAQ,1,Workflow,SCMC__Purchase_Order__c,onAllChanges,Y,myVariable_current.SCMC__Ship_To_Warehouse__c IsNull False,2,0,0,2,0
ION_Update_Invoice_Line,3014K000000545JQAQ,1,AutoLaunchedFlow,,,Y,RecordTypeName EqualTo Miscellaneous; RecordTypeName EqualTo Freight,0,0,0,0,0
ION_Update_Invoice_Line_Item_PB,3014K000000545KQAQ,1,Workflow,SCMC__Invoice_Line_Item__c,onCreateOnly,Y,myVariable_current.RecordType.Name EqualTo Miscellaneous; myVariable_current.RecordType.Name EqualTo Freight,1,0,0,1,0
ION_Update_PO_with_FFA_Cmp_Name_from_Warehouse,3014K000000545LQAQ,1,AutoLaunchedFlow,,,N,,0,0,0,0,0
ION_Update_PO_with_SF_Exchange_Rate,3014K000000545MQAQ,1,AutoLaunchedFlow,,,N,,0,0,0,0,0
ION_Update_Sales_Order_Line_PB,3014K000000545OQAQ,1,Workflow,SCMC__Sales_Order_Line_Item__c,onAllChanges,Y,myVariable_current.SCMC__Item_Master__r.ION_Outbound_Serial_No__c EqualTo True,1,0,0,1,0
ION_Update_SO_with_FFA_Cmp_Name_from_Warehouse,3014K000000545NQAQ,1,AutoLaunchedFlow,,,N,,0,0,0,0,0
ION_UpdateOppProduct,3014K000000hBeKQAU,1,AutoLaunchedFlow,,,N,,0,0,0,0,0
ION_UpdateOppProduct_PB,3014K000000hBfIQAU,1,Workflow,OpportunityLineItem,onAllChanges,Y,myVariable_current.PricebookEntryId IsNull False; myVariable_current.IWM_Sales_Order_Line_type__c IsNull False,1,0,0,1,0
ION_UpdateOppWithSORecType,3014K000000hBeLQAU,1,AutoLaunchedFlow,,,N,,0,0,0,0,0
Journal_Line_Item_PrePaid_Description,3018e0000004GgWAAU,1,AutoLaunchedFlow,c2g__codaJournalLineItem__c,RecordBeforeSave,Y,logic=and; c2g__LineDescription__c IsNull True; Prepaid_Description__c IsNull False,0,0,0,0,0
Lead_Generation,3018e000000CguCAAS,6,Flow,,,Y,Abnormal EqualTo r,1,0,0,1,0
Lock_Opportunities_on_ClosedWon,301Px00000Q4XrGIAV,6,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=and; StageName EqualTo Closed Won,0,0,0,0,0
M2_Picklist_Email,3018e0000004FcNAAU,1,AutoLaunchedFlow,SCMC__Picklist__c,RecordAfterSave,Y,logic=and; SCMC__Shipper__c IsNull False,1,0,0,1,0
MACD_Attach_Opp_Documents,301Px00000PpZyNIAV,1,AutoLaunchedFlow,MACD__c,RecordAfterSave,Y,Filter_for_Existing_Documents IsNull True; Filter_for_Existing_Documents IsEmpty True,0,0,0,0,0
MACD_Complete_MACD,301Px00000LiKrnIAF,12,AutoLaunchedFlow,MACD__c,RecordAfterSave,Y,logic=and; Status__c EqualTo Completed,0,0,0,0,0
MACD_Duplicate_Checker,301Px00000DHWyTIAX,3,AutoLaunchedFlow,MACD_Line_Item__c,,Y,serialNumber EqualTo Loop_Current_Array.Asset__r.SerialNumber,0,0,0,0,0
MACD_LI_Name_Updater,301Px00000EAA2tIAH,2,AutoLaunchedFlow,MACD_Line_Item__c,RecordAfterSave,Y,logic=and; Asset__c IsNull False,0,0,0,0,0
MACD_Meter_Reading_Screen,301Px00000PpZyOIAV,1,Flow,,,N,,0,0,0,0,0
MACD_Rollout_Screen,301Px00000JFtyvIAD,1,Flow,MACD_Line_Item__c,,Y,Is_this_a_Full_Deployment_or_Rollout EqualTo Full_Deployment,0,0,0,0,0
NEW_FUN_MACD_FLOW,301Ae00000pwyGUIAY,1,Flow,SCMC__Sales_Order__c,,Y,What_action_would_you_like_to_perform EqualTo Update_product_details; Copy_1_of_What_action_would_you_like_to_perform EqualTo Update_product_details; Update_Product_Action_Screen WasVisited False; What_action_would_you_like_to_perform EqualTo Change_Product; Copy_1_of_What_action_would_you_like_to_perform EqualTo Change_Product,0,0,7,7,0
New_Location_Screen_Flow,301Px00000S59vsIAB,3,Flow,,,N,,0,0,0,0,0
New_Picklist_Notification,301Px00000NHzQ3IAL,2,AutoLaunchedFlow,SCMC__Picklist__c,RecordAfterSave,Y,$Record.SCMC__Sales_Order__r.link_Opp2SO_Id__r.Lines_Of_Business__c EqualTo Digital Workspace,1,0,0,1,0
New_Sales_Order_Creation,3014K000000caKTQAY,5,Workflow,SCMC__Sales_Order__c,onCreateOnly,Y,myVariable_old IsNull False; myVariable_old.SCMC__Status__c NotEqualTo myVariable_current.SCMC__Status__c,2,0,0,2,0
Non_Customer_Reallocation_Flow,301Px00000KC8o4IAD,7,Flow,,,N,,0,0,0,0,0
Non_Customer_Reallocation_Sub_Flow_Assign_Owners,301Px00000JuukdIAB,1,AutoLaunchedFlow,Account,,N,,0,0,0,0,0
Notify_deal_rejections,3014K000000cauHQAQ,3,Workflow,Opportunity,onAllChanges,Y,myVariable_old IsNull False; myVariable_old.StageName NotEqualTo myVariable_current.StageName,1,0,0,1,0
Opportunity_Add_Asset_v2,301Px00000FYaLNIA1,50,Flow,SCMC__Sales_Order__c,,Y,What_action_would_you_like_to_perform EqualTo Update_product_details; Copy_1_of_What_action_would_you_like_to_perform EqualTo Update_product_details; Copy_1_of_Update_Product_Action_Screen WasVisited False; What_action_would_you_like_to_perform EqualTo Change_Product; Copy_1_of_What_action_would_you_like_to_perform EqualTo Change_Product,0,0,7,7,0
Opportunity_Add_Asset_v3,301Px00000TxAIoIAN,15,Flow,SCMC__Sales_Order__c,,Y,What_action_would_you_like_to_perform EqualTo Update_product_details; Copy_1_of_What_action_would_you_like_to_perform EqualTo Update_product_details; Copy_1_of_Update_Product_Action_Screen WasVisited False; What_action_would_you_like_to_perform EqualTo Change_Product; Copy_1_of_What_action_would_you_like_to_perform EqualTo Change_Product,0,0,7,7,0
Opportunity_Add_Products,3018e0000004HGtAAM,1,Flow,Product_Groups__c,,Y,Get_Accessories_Related_to_Product IsNull False,0,0,0,0,0
Opportunity_Asset_MACD_Generator3,301Px00000SwuTIIAZ,42,Flow,OpportunityLineItem,,Y,ChildAssetMultiple IsNull False,0,0,2,2,0
Opportunity_Calculate_Contractual_Split,301Px00000PtHTKIA3,2,AutoLaunchedFlow,Opportunity,RecordAfterSave,N,,0,0,0,0,0
Opportunity_Change_Asset_Generator,3018e0000008Y3tAAE,28,Flow,Product_Groups__c,,Y,Get_Subproducts_Accessories IsNull False,0,0,0,0,0
Opportunity_Compliance_Approval_Screen,301Ae00000qj0fnIAA,5,Flow,,,N,,0,0,0,0,0
Opportunity_Compliance_Calculation,301Px00000PtHTLIA3,5,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=and; Approval_Status__c EqualTo Approved,1,0,0,1,1
Opportunity_Dispose_Asset_Generator,301Px00000KVYN2IAP,16,Flow,MACD_Line_Item__c,,Y,Would_you_like_to_update_current_disposals_or_add_a_new_disposal EqualTo New_Disposal,0,0,1,1,0
Opportunity_Duplicate,301Px00000Nzl4sIAB,2,Flow,,,N,,0,0,0,0,0
Opportunity_MACD_Auto_Compliance_Approval,301Px00000QsJpyIAF,4,AutoLaunchedFlow,Opportunity,RecordAfterSave,Y,logic=and; StageName IsChanged True; StageName EqualTo Compliance Approval; Approval_Status__c EqualTo Under Review,0,0,1,1,0
Opportunity_Move_Asset_Generator,301Px00000MEqtKIAT,8,Flow,MACD_Line_Item__c,,Y,Would_you_like_to_update_current_moves_or_add_a_new_move EqualTo Update_Current_Moves,0,0,2,2,0
Opportunity_Naming_Convention,3018e0000008cLGAAY,8,AutoLaunchedFlow,Opportunity,RecordBeforeSave,N,,0,0,0,0,0
Opportunity_Parent_Child_Products_Generator,3018e000000CgMCAA0,36,Flow,Product_Groups__c,,Y,Add_Accessory_To_Parent_Toggle.value EqualTo True,0,0,0,0,0
Opportunity_Subflow_Asset_MACD_Generator,3018e0000004HGnAAM,1,AutoLaunchedFlow,MACD_Line_Item__c,,N,,0,0,0,0,0
Opportunity_Submit_Products_for_Approval,301Px00000T4DcRIAV,2,AutoLaunchedFlow,Opportunity,,Y,productArray Contains Loop_Initial_Products.Product2Id,1,0,0,1,0
Overdue_Transactions,3018e0000008akFAAQ,6,Flow,,,Y,Action_To_Perform Contains Create_Followup_Task; Action_To_Perform Contains Log_Call; Action_To_Perform Contains Log_Call; Action_To_Perform Contains Create_Followup_Task,4,0,0,4,0
Parent_MACD_Add,301Px00000TqXaMIAV,6,Flow,,,Y,Add_Accessories EqualTo Yes,1,0,1,2,1
Populate_Department_Opp_Split,301Px00000D6dC6IAJ,3,AutoLaunchedFlow,OpportunitySplit,RecordAfterSave,Y,$Record.Department__c IsNull True,0,0,0,0,0
Processing_Complete,3018e000000PFasAAG,1,AutoLaunchedFlow,Field_Trip__Object_Analysis__c,RecordAfterSave,N,,1,0,0,1,0
Product_Duplicate_Checker,301Px00000G57UHIAZ,1,AutoLaunchedFlow,,,Y,Get_Product IsNull False,0,0,0,0,0
Product_Group_Name_Updater,3018e0000004HGoAAM,1,AutoLaunchedFlow,Product_Groups__c,RecordAfterSave,Y,logic=and; Sub_Product__c IsNull False,0,0,0,0,0
Product_Grouping_Check,301Px00000DNIXrIAP,2,AutoLaunchedFlow,,,Y,productType EqualTo Accessory,0,0,0,0,0
