flow_developer_name,flow_id,version_number,process_type,touchpoint_type,touchpoint_name,touchpoint_detail,external_candidate
ION_UpdateOppProduct_PB,3014K000000hBfIQAU,1,Workflow,Action:flow,ION_UpdateOppProduct,ION_UpdateOppProduct [UpdateOppProduct],False
Lead_Generation,3018e000000CguCAAS,6,Flow,Action:customNotificationAction,customNotificationAction,customNotificationAction [Set no contact notification],False
M2_Picklist_Email,3018e0000004FcNAAU,1,AutoLaunchedFlow,Action:emailAlert,SCMC__Picklist__c.M2_Picklist_Email,SCMC__Picklist__c.M2_Picklist_Email [Email Picklist],False
NEW_FUN_MACD_FLOW,301Ae00000pwyGUIAY,1,Flow,Subflow,Product_Grouping_Check,Product_Grouping_Check,False
NEW_FUN_MACD_FLOW,301Ae00000pwyGUIAY,1,Flow,Subflow,Remove_Product_Lines,Remove_Product_Lines,False
NEW_FUN_MACD_FLOW,301Ae00000pwyGUIAY,1,Flow,Subflow,Create_Delivery_Lines,Create_Delivery_Lines,False
NEW_FUN_MACD_FLOW,301Ae00000pwyGUIAY,1,Flow,Subflow,Create_Install_Analyst_Line,Create_Install_Analyst_Line,False
NEW_FUN_MACD_FLOW,301Ae00000pwyGUIAY,1,Flow,Subflow,Create_SO_Lines,Create_SO_Lines,False
NEW_FUN_MACD_FLOW,301Ae00000pwyGUIAY,1,Flow,Subflow,Product_Grouping_Check,Product_Grouping_Check,False
NEW_FUN_MACD_FLOW,301Ae00000pwyGUIAY,1,Flow,Subflow,Remove_Product_Lines,Remove_Product_Lines,False
New_Picklist_Notification,301Px00000NHzQ3IAL,2,AutoLaunchedFlow,Action:emailAlert,SCMC__Picklist__c.New_Picklist_Alert,SCMC__Picklist__c.New_Picklist_Alert [Send New Picklist Notification],False
New_Sales_Order_Creation,3014K000000caKTQAY,5,Workflow,Action:customNotificationAction,customNotificationAction,customNotificationAction [Notify OP],False
New_Sales_Order_Creation,3014K000000caKTQAY,5,Workflow,Action:customNotificationAction,customNotificationAction,customNotificationAction [Notify Stu],False
Notify_deal_rejections,3014K000000cauHQAQ,3,Workflow,Action:emailAlert,Opportunity.Notify_Opportunity_Owner_when_compliance_update_their_Opportunity,Opportunity.Notify_Opportunity_Owner_when_compliance_update_their_Opportunity [Notify owner],False
Opportunity_Add_Asset_v2,301Px00000FYaLNIA1,50,Flow,Subflow,Product_Grouping_Check,Product_Grouping_Check,False
Opportunity_Add_Asset_v2,301Px00000FYaLNIA1,50,Flow,Subflow,Remove_Product_Lines,Remove_Product_Lines,False
Opportunity_Add_Asset_v2,301Px00000FYaLNIA1,50,Flow,Subflow,Create_Delivery_Lines,Create_Delivery_Lines,False
Opportunity_Add_Asset_v2,301Px00000FYaLNIA1,50,Flow,Subflow,Create_Install_Analyst_Line,Create_Install_Analyst_Line,False
Opportunity_Add_Asset_v2,301Px00000FYaLNIA1,50,Flow,Subflow,Create_SO_Lines,Create_SO_Lines,False
Opportunity_Add_Asset_v2,301Px00000FYaLNIA1,50,Flow,Subflow,Product_Grouping_Check,Product_Grouping_Check,False
Opportunity_Add_Asset_v2,301Px00000FYaLNIA1,50,Flow,Subflow,Remove_Product_Lines,Remove_Product_Lines,False
Opportunity_Add_Asset_v3,301Px00000TxAIoIAN,15,Flow,Subflow,Product_Grouping_Check,Product_Grouping_Check,False
Opportunity_Add_Asset_v3,301Px00000TxAIoIAN,15,Flow,Subflow,Remove_Product_Lines,Remove_Product_Lines,False
Opportunity_Add_Asset_v3,301Px00000TxAIoIAN,15,Flow,Subflow,Create_Delivery_Lines,Create_Delivery_Lines,False
Opportunity_Add_Asset_v3,301Px00000TxAIoIAN,15,Flow,Subflow,Create_Install_Analyst_Line,Create_Install_Analyst_Line,False
Opportunity_Add_Asset_v3,301Px00000TxAIoIAN,15,Flow,Subflow,Create_SO_Lines,Create_SO_Lines,False
Opportunity_Add_Asset_v3,301Px00000TxAIoIAN,15,Flow,Subflow,Product_Grouping_Check,Product_Grouping_Check,False
Opportunity_Add_Asset_v3,301Px00000TxAIoIAN,15,Flow,Subflow,Remove_Product_Lines,Remove_Product_Lines,False
Opportunity_Asset_MACD_Generator3,301Px00000SwuTIIAZ,42,Flow,Subflow,Asset_Number_Generator,Asset_Number_Generator,False
Opportunity_Asset_MACD_Generator3,301Px00000SwuTIIAZ,42,Flow,Subflow,MACD_Duplicate_Checker,MACD_Duplicate_Checker,False
Opportunity_Compliance_Calculation,301Px00000PtHTLIA3,5,AutoLaunchedFlow,Action:apex,BusinessHoursCalculator,BusinessHoursCalculator [Calculate Business Hours],True
Opportunity_Dispose_Asset_Generator,301Px00000KVYN2IAP,16,Flow,Subflow,Update_Asset_after_MACD_Creation,Update_Asset_after_MACD_Creation,False
Opportunity_MACD_Auto_Compliance_Approval,301Px00000QsJpyIAF,4,AutoLaunchedFlow,Subflow,Compliance_Approval_Flow,Compliance_Approval_Flow,False
Opportunity_Move_Asset_Generator,301Px00000MEqtKIAT,8,Flow,Subflow,Update_Asset_after_MACD_Creation,Update_Asset_after_MACD_Creation,False
Opportunity_Move_Asset_Generator,301Px00000MEqtKIAT,8,Flow,Subflow,Update_Asset_after_MACD_Creation,Update_Asset_after_MACD_Creation,False
Opportunity_Submit_Products_for_Approval,301Px00000T4DcRIAV,2,AutoLaunchedFlow,Action:submit,submit,submit [Submit to Product Approval],False
Overdue_Transactions,3018e0000008akFAAQ,6,Flow,Action:quickAction,LogACall,LogACall [Create Call 1],False
Overdue_Transactions,3018e0000008akFAAQ,6,Flow,Action:quickAction,LogACall,LogACall [Create Call 2],False
Overdue_Transactions,3018e0000008akFAAQ,6,Flow,Action:quickAction,NewTask,NewTask [Create Followup Tasks],False
Overdue_Transactions,3018e0000008akFAAQ,6,Flow,Action:quickAction,NewTask,NewTask [Create Followup Tasks 2],False
Parent_MACD_Add,301Px00000TqXaMIAV,6,Flow,Action:apex,GenericObjectOperationBatchLauncher,GenericObjectOperationBatchLauncher [Create Child Opp Lines],True
Parent_MACD_Add,301Px00000TqXaMIAV,6,Flow,Subflow,Create_Install_Analyst_Line,Create_Install_Analyst_Line,False
Processing_Complete,3018e000000PFasAAG,1,AutoLaunchedFlow,Action:emailAlert,Field_Trip__Object_Analysis__c.Field_Trip__Send_Processing_Complete_Notification2,Field_Trip__Object_Analysis__c.Field_Trip__Send_Processing_Complete_Notification2 [Field_Trip__Object_Analysis__c.Field_Trip__Send_Processing_Complete_Notific],False
