"api_name","category"
"Bank_Format_Constant__ChangeEvent","standard"
"Bank_Format_Constant__Share","standard"
"BatchApexErrorEvent","standard"
"BatchDataSource","standard"
"BatchDataSrcFilterCriteria","standard"
"BatchJob","standard"
"BatchJobDefinition","standard"
"BatchJobFeed","standard"
"BatchJobHistory","standard"
"BatchJobPart","standard"
"BatchJobPartFailedRecord","standard"
"BatchJobPartFailedRecordFeed","standard"
"BatchJobPartFailedRecordHistory","standard"
"BatchJobPartFeed","standard"
"BatchJobPartHistory","standard"
"BatchJobShare","standard"
"BatchJobStatusChangedEvent","standard"
"BatchProcessJobDefinition","standard"
"BatchProcessJobDefView","standard"
"BrandingSet","standard"
"BrandingSetProperty","standard"
"BrandTemplate","standard"
"BriefcaseAssignment","standard"
"BriefcaseAssignmentChangeEvent","standard"
"BriefcaseDefinition","standard"
"BriefcaseDefinitionChangeEvent","standard"
"BriefcaseRule","standard"
"BriefcaseRuleFilter","standard"
"BrowserPolicyViolation","standard"
"BusinessBrand","standard"
"BusinessBrandChangeEvent","standard"
"BusinessBrandShare","standard"
"BusinessHours","standard"
"BusinessProcess","standard"
"BusinessUnit","standard"
"c2g__AccountHealthMeasurementBatch__c","custom"
"c2g__AccountHealthMeasurementBatch__ChangeEvent","standard"
"c2g__AccountHealthMeasurementBatch__Feed","standard"
"c2g__AccountHealthMeasurementBatch__Share","standard"
"c2g__AccountHealthMeasurementLog__c","custom"
"c2g__AccountHealthMeasurementLog__ChangeEvent","standard"
"c2g__AccountingBook__c","custom"
"c2g__AccountingBook__ChangeEvent","standard"
"c2g__AccountingBook__Share","standard"
"c2g__AccountingLocalizationSettings__c","custom"
"c2g__AccountingLocalizationSettings__ChangeEvent","standard"
"c2g__AccountingSummarization__c","custom"
"c2g__AccountingSummarization__ChangeEvent","standard"
"c2g__AccountingSummarization__Share","standard"
"c2g__AccountingSummarization2__c","custom"
"c2g__AccountingSummarization2__ChangeEvent","standard"
"c2g__AccountingSummarization2__Share","standard"
"c2g__AccountSettings__c","custom"
"c2g__AccountSettings__ChangeEvent","standard"
"c2g__AccountTypeSettings__c","custom"
"c2g__AccountTypeSettings__ChangeEvent","standard"
"c2g__Allocation__c","custom"
"c2g__Allocation__ChangeEvent","standard"
"c2g__Allocation__Share","standard"
"c2g__AllocationFilter__c","custom"
"c2g__AllocationFilter__ChangeEvent","standard"
"c2g__AllocationFilter__History","standard"
"c2g__AllocationFilterStructure__c","custom"
"c2g__AllocationFilterStructure__ChangeEvent","standard"
"c2g__AllocationFilterStructure__History","standard"
"c2g__AllocationLog__c","custom"
"c2g__AllocationLog__ChangeEvent","standard"
"c2g__AllocationRule__c","custom"
"c2g__AllocationRule__ChangeEvent","standard"
"c2g__AllocationRule__Share","standard"
"c2g__AllocationSchedule__c","custom"
"c2g__AllocationSchedule__ChangeEvent","standard"
"c2g__AllocationSchedule__Share","standard"
"c2g__AllocationScheduleCompany__c","custom"
"c2g__AllocationScheduleCompany__ChangeEvent","standard"
"c2g__AllocationScheduleCompany__History","standard"
"c2g__AllocationScheduleCompany__Share","standard"
"c2g__AllocationScheduleLog__c","custom"
"c2g__AllocationScheduleLog__ChangeEvent","standard"
"c2g__AllocationScheduleLog__Share","standard"
"c2g__AllocationScheduleTemplate__c","custom"
"c2g__AllocationScheduleTemplate__ChangeEvent","standard"
"c2g__AllocationSplitTemplate__c","custom"
"c2g__AllocationSplitTemplate__ChangeEvent","standard"
"c2g__AllocationTemplate__c","custom"
"c2g__AllocationTemplate__ChangeEvent","standard"
"c2g__AllocationTemplate__History","standard"
"c2g__AllocationTemplate__Share","standard"
"c2g__AllocSchedule__c","custom"
"c2g__AllocSchedule__ChangeEvent","standard"
"c2g__AllocSchedule__Share","standard"
"c2g__AllocScheduleCompany__c","custom"
"c2g__AllocScheduleCompany__ChangeEvent","standard"
"c2g__AllocScheduleCompany__History","standard"
"c2g__AllocScheduleCompany__Share","standard"
"c2g__AllocScheduleLog__c","custom"
"c2g__AllocScheduleLog__ChangeEvent","standard"
"c2g__AllocScheduleRun__c","custom"
"c2g__AllocScheduleRun__ChangeEvent","standard"
"c2g__AllocScheduleRun__Share","standard"
"c2g__AllocScheduleRunTransaction__c","custom"
"c2g__AllocScheduleRunTransaction__ChangeEvent","standard"
"c2g__AllocScheduleTemplate__c","custom"
"c2g__AllocScheduleTemplate__ChangeEvent","standard"
"c2g__ArchiveSet__c","custom"
"c2g__ArchiveSet__ChangeEvent","standard"
"c2g__ArchiveSet__Share","standard"
"c2g__ArchiveSetFilter__c","custom"
"c2g__ArchiveSetFilter__ChangeEvent","standard"
"c2g__ArchiveSetFilterStructure__c","custom"
"c2g__ArchiveSetFilterStructure__ChangeEvent","standard"
"c2g__ArchiveSetLog__c","custom"
"c2g__ArchiveSetLog__ChangeEvent","standard"
"c2g__ArchiveSetQuery__c","custom"
"c2g__ArchiveSetQuery__ChangeEvent","standard"
"c2g__ArchivingSettings__c","custom"
"c2g__ArchivingSettings__ChangeEvent","standard"
"c2g__AsOfAging__c","custom"
"c2g__AsOfAging__ChangeEvent","standard"
"c2g__AsOfAging__Feed","standard"
"c2g__AsOfAging__Share","standard"
"c2g__AsOfAgingProcessLog__c","custom"
"c2g__AsOfAgingProcessLog__ChangeEvent","standard"
"c2g__AsOfAgingReportSettings__c","custom"
"c2g__AsOfAgingReportSettings__ChangeEvent","standard"
"c2g__AsOfAgingSettings__c","custom"
"c2g__AsOfAgingSettings__ChangeEvent","standard"
"c2g__AuditData__c","custom"
"c2g__AuditData__ChangeEvent","standard"
"c2g__AuditData__Share","standard"
"c2g__AuditDataLineItem__c","custom"
"c2g__AuditDataLineItem__ChangeEvent","standard"
"c2g__AuditDataLineItem__Share","standard"
"c2g__AuditFileLog__c","custom"
"c2g__AuditFileLog__ChangeEvent","standard"
"c2g__AutoMatchRule__c","custom"
"c2g__AutoMatchRule__ChangeEvent","standard"
"c2g__AutoMatchRule__Share","standard"
"c2g__AutoMatchRuleDetail__c","custom"
"c2g__AutoMatchRuleDetail__ChangeEvent","standard"
"c2g__AutomatedElimination__c","custom"
"c2g__AutomatedElimination__ChangeEvent","standard"
"c2g__AutomatedElimination__Share","standard"
"c2g__AutomatedEliminationDestination__c","custom"
"c2g__AutomatedEliminationDestination__ChangeEvent","standard"
"c2g__AutomatedEliminationDestination__Share","standard"
"c2g__AutomatedEliminationFilter__c","custom"
"c2g__AutomatedEliminationFilter__ChangeEvent","standard"
"c2g__AutomatedEliminationFilter__History","standard"
"c2g__AutomatedEliminationsErrorLog__c","custom"
"c2g__AutomatedEliminationsErrorLog__ChangeEvent","standard"
"c2g__AutomatedEliminationSource__c","custom"
"c2g__AutomatedEliminationSource__ChangeEvent","standard"
"c2g__AutomatedEliminationSource__Share","standard"
"c2g__AvailableSummarizationObject__c","custom"
"c2g__AvailableSummarizationObject__ChangeEvent","standard"
"c2g__AvailableSummarizationObject__Share","standard"
"c2g__AvalaraSaaSSettings__c","custom"
"c2g__AvalaraSaaSSettings__ChangeEvent","standard"
"c2g__AvalaraVatReportingBatch__c","custom"
"c2g__AvalaraVatReportingBatch__ChangeEvent","standard"
"c2g__AvalaraVatReportingBatch__Share","standard"
