rank,flow_developer_name,score,process_type,version_number,trigger_object,trigger_type,entry_criteria_summary,decision_count,action_call_count,record_create_count,record_update_count,record_delete_count,record_lookup_count,external_candidate_touchpoint_count
116,Check_for_Lapsed_Customers,16,AutoLaunchedFlow,1,Account,Scheduled,(and) Review_Customer_Status__c EqualTo true,0,0,0,1,0,0,0
117,Address_Automation,16,AutoLaunchedFlow,2,Account,RecordBeforeSave,$Record.ParentId IsNull False; $Record.BillingCity IsNull True; $Record.ShippingCity IsNull False; $Record.BillingCity IsNull True,1,0,0,0,0,0,0
118,Sales_Account_Search_Flow,15,Flow,3,Account,,,0,0,0,0,0,0,0
119,Non_Customer_Reallocation_Sub_Flow_Assign_Owners,15,AutoLaunchedFlow,1,Account,,,0,0,0,1,0,0,0
120,Update_Commission_Other_Transactions_Schedule,14,AutoLaunchedFlow,2,Commission_Payment__c,Scheduled,(and) Sales_Invoice__c IsNull false; Sales_Invoice_Transaction__c IsNull false; Paid_Date__c IsNull true; Inv_Payment_Status__c EqualTo Paid,2,0,0,1,0,2,0
121,ION_Update_Invoice_Line_Item_PB,14,Workflow,1,SCMC__Invoice_Line_Item__c,onCreateOnly,myVariable_current.RecordType.Name EqualTo Miscellaneous; myVariable_current.RecordType.Name EqualTo Freight,1,1,0,0,0,0,0
122,ION_AddCompanyToBillingDoc_PB,14,Workflow,1,fferpcore__BillingDocument__c,onCreateOnly,myVariable_current.fferpcore__Company__c IsNull True; myVariable_current.SCM_Invoice__c IsNull False,1,1,0,0,0,0,0
123,Update_Asset_after_MACD_Creation,14,Flow,18,MACD_Line_Item__c,,What_is_happening_to_this_asset EqualTo Remaining_On_Site; What_is_happening_to_this_asset_move EqualTo Remaining_On_Site; What_is_happening_to_this_asset EqualTo Change_Asset,6,0,0,2,1,0,0
124,Update_Asset_Site_From_MACD_LI_When_Complete,14,AutoLaunchedFlow,3,MACD_Line_Item__c,RecordBeforeSave,(and) Status__c EqualTo Completed,0,0,0,0,0,0,0
125,MACD_Rollout_Screen,14,Flow,1,MACD_Line_Item__c,,Is_this_a_Full_Deployment_or_Rollout EqualTo Full_Deployment,1,0,0,0,0,0,0
126,MACD_LI_Name_Updater,14,AutoLaunchedFlow,2,MACD_Line_Item__c,RecordAfterSave,(and) Asset__c IsNull false,0,0,0,2,0,1,0
127,MACD_Duplicate_Checker,14,AutoLaunchedFlow,3,MACD_Line_Item__c,,serialNumber EqualTo Loop_Current_Array.Asset__r.SerialNumber,2,0,0,0,0,0,0
128,MACD_Complete_MACD,14,AutoLaunchedFlow,12,MACD__c,RecordAfterSave,(and) Status__c EqualTo Completed,1,0,0,3,0,2,0
129,Cancelled_MACD_Line_Revert_Asset_Status,14,AutoLaunchedFlow,1,MACD_Line_Item__c,RecordAfterSave,(and) Status__c EqualTo Cancelled,0,0,0,1,0,0,0
130,Cancel_MACD_Lines_Cancelled_MACD,14,AutoLaunchedFlow,2,MACD__c,RecordAfterSave,(and) Status__c EqualTo Cancelled,0,0,0,2,0,1,0
131,Account_Level_Add_MACD,13,Flow,4,,,,0,0,1,0,0,1,0
132,Update_MACD_LI_from_MACD,13,AutoLaunchedFlow,5,MACD__c,RecordAfterSave,,0,0,0,2,0,1,0
133,Product_Request_Flow,11,Flow,5,,,Product_Duplicate_Checker.Results.productExists EqualTo False; Would_you_like_to_add_a_new_currency EqualTo Yes,2,1,2,1,0,0,0
134,New_Picklist_Notification,11,AutoLaunchedFlow,2,SCMC__Picklist__c,RecordAfterSave,$Record.SCMC__Sales_Order__r.link_Opp2SO_Id__r.Lines_Of_Business__c EqualTo Digital Workspace,1,1,0,0,0,0,0
135,M2_Picklist_Email,11,AutoLaunchedFlow,1,SCMC__Picklist__c,RecordAfterSave,(and) SCMC__Shipper__c IsNull false,2,1,0,0,0,1,0
136,Lead_Generation,11,Flow,6,,,Abnormal EqualTo r,4,1,4,1,0,2,0
137,FFX_FAMFixedAssetActiveAmendment,11,Flow,1,,,varLastActiveScheduleDate IsNull False,9,0,2,8,1,7,0
138,FFX_FAMAssetCheckAndApprove,11,Flow,1,,,varAssetDateAcquired IsNull False,6,1,0,0,0,1,0
139,Contract_email_alert_90_days_before_expires,11,AutoLaunchedFlow,1,Contract,Scheduled,(and) EndDate IsNull false,0,1,0,0,0,0,0
140,Agilyx_Overdue_Transactions_Test,11,Flow,22,,,recordId StartsWith a5e,2,0,1,0,0,4,0
